feature,importance,std
abundance_rel_median_133,0.0022398071227341617,0.020306155332171744
family_Desulfovibrionales_sum,0.0022340596743968067,0.020704497646325377
genus_Prevotellaceae_mean,0.002164722605219952,0.018641468253474507
family_Tissierellales_std,0.0021641145495296674,0.020464750448720627
abundance_zscore_150,0.0021547024290211724,0.020670416007121696
species_Dorea_mean,0.0021537220398695255,0.022379476767347084
family_Bacillales_std,0.0021497265840592743,0.018672218603183226
abundance_rel_median_33,0.0021235576408261477,0.0194607703126816
family_Tissierellales_sum,0.0021012353780758817,0.018972326898096584
abundance_rel_median_34,0.002049715767529679,0.020858013894870946
species_Dorea_ratio,0.0019888474688544225,0.018944628937296402
abundance_zscore_123,0.0019771863216031175,0.01994725905329574
genus_Prevotellaceae_ratio,0.0019493247203135281,0.01715720158164527
class_Actinobacteria_mean,0.0019394654935923203,0.017289525006528247
family_Tissierellales_ratio,0.0019288250794644516,0.01823199275691698
abundance_33,0.0019233902423926963,0.019048002754742395
class_Firmicutes_mean,0.0018959521914213582,0.017035735380484186
species_Blautia_std,0.001887464754085583,0.017491906191740136
abundance_zscore_104,0.001878476770790134,0.0189473233469671
abundance_rel_median_99,0.001844024141405612,0.016696005930438226
species_Anaerococcus_std,0.0018394505815924075,0.016910488063700813
genus_Unknown_std,0.0018176528978315412,0.01681383650777151
abundance_zscore_34,0.0018170621154196974,0.018581176853556054
top_5_abundance_species,0.001794223981803066,0.018272980950658897
abundance_123,0.0017938122894302518,0.017572415914878636
species_Phascolarctobacterium_median,0.0017856715678761887,0.017901753291091612
family_Bacillales_median,0.0017843227030647365,0.017414064653536558
species_Anaerofilum_sum,0.0017813547416999224,0.019006974944060943
shannon_ratio_species,0.0017633463276932424,0.01769129366067297
species_Anaerofilum_ratio,0.0017622226802897483,0.017781621072204823
abundance_rel_median_84,0.0017422656625886899,0.01718071470857122
abundance_zscore_133,0.001727360994920118,0.015712310918470175
family_Burkholderiales_sum,0.001723593697554053,0.01613966831728298
genus_Actinomycetaceae_std,0.0017196956712629962,0.016562688550197407
order_Deltaproteobacteria_mean,0.0017153087603895098,0.015836421186699753
family_Tissierellales_mean,0.0017060923736155252,0.01691582755901011
family_Burkholderiales_ratio,0.0016900311730791268,0.017536810320624114
genus_Ruminococcaceae_std,0.0016868918158793916,0.01676266669686561
class_Actinobacteria_ratio,0.0016779412992774087,0.015739538308156168
abundance_zscore_33,0.0016656083693446714,0.016608831989109472
class_Proteobacteria_mean,0.0016643983428294847,0.015653435376424104
genus_Corynebacteriaceae_median,0.0016617992242006043,0.016057510555661274
genus_Prevotellaceae_std,0.001660051829444308,0.014466139852621828
order_Gammaproteobacteria_mean,0.00165953948103665,0.016495803871725973
family_Enterobacterales_std,0.0016581341487580507,0.016617281970365747
species_Dorea_median,0.0016551343247278004,0.017874342806777785
abundance_rel_median_113,0.0016501176558026535,0.016190252087430208
abundance_rel_median_76,0.0016498992538881581,0.016858992906895617
diversity_complexity_species,0.0016321155913847582,0.016473886058100358
abundance_57,0.001625079028223677,0.016674226899661266
abundance_zscore_103,0.001623407016249031,0.015009023035710119
order_Actinobacteria_median,0.0016214515800045091,0.016094126785686183
genus_Unknown_sum,0.0016079420628406008,0.015163319055605256
order_Deltaproteobacteria_sum,0.001590047101798977,0.01571350029626368
family_Acidaminococcales_std,0.0015761977482542228,0.015448858892629988
species_Phascolarctobacterium_mean,0.001573387026498869,0.015831632976556657
genus_Tannerellaceae_std,0.0015685420180091612,0.015299917618348686
species_Unknown_sum,0.0015677764700225186,0.01705036349413361
species_Bifidobacterium_std,0.0015507016242808523,0.014030761159269383
family_Enterobacterales_mean,0.0015410396361772503,0.015020852932171092
order_Betaproteobacteria_sum,0.0015173277444975339,0.015413585076329495
shannon_diversity_species,0.0015136349453547036,0.01528266991192747
species_Anaerostipes_sum,0.0014809559204842274,0.016985988383357128
order_Betaproteobacteria_std,0.0014730949236947967,0.014993669267418571
abundance_34,0.0014669734616467268,0.017426107821418284
